income,employment_length,debt_ratio,credit_score,loan_purpose,default_risk
74486,26,0.48,694,car,0
28547,21,0.44,701,personal,0
43399,26,0.68,592,business,1
51961,5,0.55,628,education,0
71619,20,0.89,604,education,1
28462,7,0.44,707,education,0
67447,12,0.24,644,personal,0
50153,17,0.48,605,car,0
35277,22,0.29,704,education,0
56931,3,0.55,692,car,0
52985,16,0.2,707,education,0
40996,28,0.86,542,education,1
51047,4,0.79,609,business,1
44220,2,0.22,697,personal,0
51702,3,0.24,533,business,0
59931,22,0.51,535,car,1
73790,4,0.72,598,car,1
31432,13,0.28,704,personal,0
81995,14,0.15,650,education,0
20718,19,0.54,685,personal,0
47723,16,0.65,581,education,1
58824,5,0.3,580,home,0
54214,26,0.69,747,home,0
40659,9,0.86,679,personal,1
46878,21,0.21,574,home,0
42604,22,0.51,511,home,1
41159,15,0.15,551,car,0
62744,16,0.27,576,education,0
55355,13,0.17,561,home,0
39606,19,0.42,647,business,0
63493,11,0.76,697,car,0
54609,8,0.56,643,education,0
62192,14,0.28,618,car,0
59444,11,0.13,674,business,0
37565,13,0.54,626,education,0
41597,25,0.21,530,personal,0
61209,21,0.37,664,personal,0
59155,17,0.51,677,car,0
49686,19,0.82,734,personal,0
51759,5,0.17,714,education,0
69164,3,0.63,610,business,1
41126,25,0.11,634,business,0
58206,22,0.6,652,personal,0
46967,11,0.54,664,home,0
46734,12,0.75,754,home,0
66481,18,0.53,645,home,0
62381,21,0.38,613,personal,0
62202,12,0.29,736,personal,0
69582,11,0.17,735,personal,0
50315,19,0.53,713,education,0
60229,2,0.81,537,home,1
45345,27,0.51,655,car,0
54862,2,0.69,633,education,1
48047,13,0.34,680,education,0
51454,17,0.46,589,personal,0
58927,26,0.36,707,personal,0
37726,18,0.19,675,education,0
81385,28,0.43,711,personal,0
34909,27,0.71,597,home,1
31787,29,0.42,668,education,0
67371,9,0.62,705,education,0
61874,16,0.71,471,education,1
59361,14,0.36,696,personal,0
59425,18,0.74,624,education,1
49816,8,0.37,648,car,0
36541,3,0.3,737,car,0
51137,14,0.28,726,home,0
39842,18,0.26,609,education,0
64626,15,0.69,531,education,1
47794,7,0.81,644,personal,1
37617,16,0.28,724,business,0
45179,20,0.17,742,business,0
56193,0,0.35,503,education,1
41544,6,0.63,691,home,0
37666,20,0.39,682,car,0
53655,17,0.54,704,education,0
53674,11,0.7,650,education,1
42395,15,0.43,526,home,0
42934,29,0.9,617,home,1
53480,0,0.34,585,business,0
28278,26,0.88,577,education,1
28888,14,0.26,704,education,0
39223,6,0.19,638,personal,0
46798,27,0.7,677,car,0
54663,16,0.66,723,personal,0
72130,2,0.75,529,personal,1
62864,10,0.37,762,car,0
47600,5,0.84,775,education,0
49714,5,0.2,525,business,0
34962,14,0.12,698,car,0
49722,6,0.34,789,home,0
45670,10,0.74,552,education,1
54840,29,0.64,567,car,1
37591,26,0.45,706,car,0
57790,16,0.31,682,car,0
72991,22,0.15,665,business,0
48368,17,0.37,632,personal,0
56025,21,0.47,660,personal,0
60352,28,0.65,473,car,1
43981,23,0.62,566,car,1
53361,28,0.86,642,personal,1
50188,20,0.18,502,business,0
51465,25,0.37,640,education,0
38404,18,0.49,648,personal,0
50367,26,0.64,598,car,1
57469,7,0.5,602,business,0
71767,23,0.83,576,business,1
64389,19,0.59,616,car,0
82297,7,0.13,675,home,0
38489,20,0.19,680,business,0
63084,28,0.7,721,personal,0
52750,10,0.67,639,home,1
82847,20,0.22,682,education,0
37875,2,0.15,548,personal,0
37404,22,0.56,664,car,0
41009,26,0.61,634,home,0
18141,13,0.21,684,personal,0
42113,26,0.48,630,business,0
38613,8,0.34,623,car,0
52255,24,0.85,592,home,1
55126,0,0.28,720,business,0
78142,0,0.69,607,car,1
64256,25,0.51,780,car,0
41346,27,0.11,558,home,0
36523,11,0.51,731,home,0
57378,10,0.18,497,home,0
30196,20,0.63,638,personal,0
77471,0,0.55,608,car,1
67691,19,0.11,680,education,0
42962,11,0.26,707,business,0
24302,16,0.72,785,home,0
70308,14,0.32,612,car,0
48281,1,0.5,598,business,1
68567,17,0.35,711,education,0
26083,15,0.84,640,business,1
41009,3,0.53,605,education,0
50078,7,0.66,618,home,1
50704,1,0.17,600,personal,0
43249,13,0.13,533,education,0
59342,24,0.31,759,home,0
33985,14,0.35,684,business,0
47864,27,0.65,537,business,1
51804,8,0.56,754,business,0
57716,1,0.4,662,personal,0
60674,16,0.62,635,car,0
33130,25,0.23,687,education,0
26988,9,0.15,619,car,0
69165,8,0.78,557,business,1
54984,1,0.55,612,personal,1
38772,23,0.62,644,home,0
73267,29,0.35,587,personal,0
51735,18,0.4,685,car,0
67689,16,0.17,739,business,0
51012,10,0.79,624,education,1
80911,16,0.57,489,personal,1
76330,9,0.17,638,car,0
46265,17,0.74,590,car,1
64573,22,0.46,635,home,0
59680,27,0.71,634,education,1
70529,5,0.11,589,car,0
35526,15,0.12,554,education,0
60290,27,0.24,650,business,0
65876,26,0.27,596,personal,0
23618,17,0.71,772,car,0
32251,19,0.67,667,business,0
19411,17,0.59,598,home,1
45958,0,0.81,616,education,1
60763,27,0.3,639,business,0
72535,2,0.82,656,education,1
51111,14,0.83,693,education,1
74429,19,0.45,730,car,0
29298,9,0.18,645,education,0
24449,20,0.68,681,business,0
49166,4,0.37,679,home,0
55760,14,0.74,656,car,1
49509,22,0.23,635,personal,0
18988,13,0.53,659,home,0
48663,14,0.51,604,business,0
30432,9,0.18,570,car,0
60045,23,0.39,751,education,0
55498,8,0.17,665,home,0
35901,11,0.47,669,car,0
42291,6,0.77,634,personal,1
34111,4,0.32,684,personal,0
49059,24,0.71,637,personal,1
64327,23,0.25,543,car,0
35214,9,0.64,612,home,1
57560,24,0.83,691,education,1
42046,25,0.36,608,home,0
38106,7,0.82,521,education,1
48394,21,0.5,629,home,0
34471,19,0.35,528,home,0
41695,24,0.82,628,car,1
32031,15,0.13,732,personal,0
79470,11,0.12,560,personal,0
50528,8,0.58,695,personal,0
39504,9,0.74,770,personal,0
53209,15,0.7,739,home,0
48315,9,0.16,634,personal,0
46685,8,0.86,585,home,1
59212,29,0.66,662,education,0
61362,25,0.86,663,business,1
42042,2,0.36,714,business,0
41362,26,0.66,653,education,0
45874,27,0.79,678,home,1
15471,18,0.4,586,personal,0
27272,10,0.87,701,car,1
70503,5,0.31,560,home,0
74674,5,0.35,606,home,0
46264,14,0.84,692,education,1
58648,28,0.88,740,education,1
54668,14,0.33,697,car,0
96183,12,0.21,647,personal,0
66793,21,0.71,648,business,1
48081,4,0.84,586,personal,1
35666,13,0.58,624,personal,0
25903,20,0.61,515,home,1
53051,1,0.71,766,car,0
38654,29,0.22,805,home,0
28666,22,0.88,514,education,1
40301,11,0.39,549,business,0
33776,19,0.6,745,car,0
75307,13,0.47,595,car,0
63224,18,0.47,746,personal,0
49880,23,0.66,702,home,0
72199,19,0.9,627,personal,1
51160,14,0.63,716,personal,0
37080,26,0.74,647,car,1
72846,19,0.12,646,business,0
58083,23,0.75,687,education,0
34441,16,0.34,705,personal,0
47144,24,0.2,720,business,0
36865,13,0.19,814,personal,0
29258,22,0.64,675,business,0
63892,27,0.9,740,home,1
78641,17,0.63,738,education,0
29021,26,0.31,697,car,0
58444,27,0.26,613,home,0
40240,21,0.52,726,personal,0
42693,23,0.15,681,personal,0
41114,26,0.42,559,education,0
37040,4,0.63,720,education,0
50727,21,0.87,536,education,1
37535,11,0.44,695,personal,0
54056,9,0.26,611,personal,0
49246,7,0.75,661,car,1
46415,28,0.7,552,education,1
36386,5,0.79,599,business,1
41348,27,0.27,613,car,0
61330,24,0.42,639,business,0
57513,14,0.89,608,home,1
35336,11,0.23,674,education,0
51489,24,0.64,683,car,0
61270,24,0.29,618,car,0
24958,5,0.5,652,home,0
58150,11,0.74,687,home,0
40060,14,0.49,492,home,1
58558,11,0.74,680,car,0
38551,8,0.44,605,personal,0
22926,18,0.9,463,business,1
25586,20,0.45,622,business,0
50721,1,0.22,579,home,0
53895,27,0.42,617,personal,0
36435,12,0.69,682,personal,0
59578,12,0.78,709,home,0
25077,7,0.47,740,education,0
49008,26,0.58,744,car,0
31834,12,0.78,577,education,1
40222,3,0.75,734,personal,0
50710,5,0.63,564,home,1
37093,5,0.75,724,car,0
44231,20,0.56,689,business,0
65094,11,0.1,661,personal,0
41346,11,0.13,587,car,0
62535,16,0.88,733,car,1
33054,26,0.22,579,education,0
57947,6,0.42,648,business,0
71623,25,0.85,654,education,1
12925,14,0.26,531,education,0
38046,23,0.78,660,education,1
58656,16,0.75,573,education,1
46954,9,0.89,750,personal,1
55567,22,0.33,839,business,0
40940,19,0.35,598,education,0
51298,5,0.82,622,personal,1
47664,8,0.29,661,personal,0
67516,14,0.54,505,car,1
53816,15,0.67,765,car,0
55064,20,0.32,627,home,0
43821,7,0.85,622,personal,1
42685,15,0.63,698,home,0
43511,4,0.14,655,personal,0
55916,17,0.21,661,education,0
43685,19,0.25,709,education,0
54346,13,0.3,641,home,0
81131,1,0.68,571,education,1
63066,22,0.17,735,education,0
45109,22,0.38,609,car,0
68018,29,0.83,612,education,1
43878,2,0.55,666,car,0
19428,13,0.31,558,business,0
34878,28,0.87,666,personal,1
21938,6,0.3,716,car,0
44727,14,0.82,760,car,0
50276,16,0.68,701,car,0
75146,0,0.69,725,personal,1
54903,8,0.71,605,personal,1
46713,21,0.51,707,personal,0
62441,28,0.75,636,education,1
16832,13,0.77,731,car,0
53534,15,0.39,657,personal,0
61562,27,0.42,725,business,0
27821,20,0.81,661,personal,1
67156,12,0.52,596,home,0
55077,5,0.79,652,home,1
43770,21,0.6,626,car,0
59491,0,0.57,740,car,0
84060,20,0.12,555,car,0
52727,24,0.32,532,education,0
53723,3,0.5,670,home,0
43109,2,0.57,627,home,0
37252,16,0.6,569,car,1
62455,29,0.67,647,home,0
37158,1,0.62,668,home,1
51073,18,0.78,735,education,0
42835,19,0.34,520,business,0
57184,22,0.61,662,car,0
55004,21,0.14,764,business,0
65563,26,0.48,761,business,0
42349,7,0.31,656,education,0
45951,29,0.4,608,home,0
35318,24,0.38,631,car,0
43335,14,0.15,581,personal,0
55659,5,0.47,619,business,0
61354,22,0.9,655,business,1
36167,19,0.34,682,education,0
63044,1,0.69,709,business,1
70334,24,0.54,642,business,0
56201,24,0.36,637,business,0
78151,14,0.17,711,education,0
38393,19,0.27,625,home,0
31330,11,0.73,698,business,0
23319,2,0.32,534,car,0
72440,9,0.22,682,business,0
59815,13,0.37,797,business,0
49166,26,0.57,585,car,1
54199,21,0.66,750,education,0
33117,29,0.41,698,personal,0
86686,13,0.5,711,car,0
51938,2,0.46,696,personal,0
51640,0,0.11,605,home,0
60886,19,0.42,558,home,0
57215,0,0.57,683,business,1
53358,1,0.56,641,business,1
38142,18,0.7,552,education,1
57072,23,0.64,618,personal,1
78230,9,0.32,576,home,0
70181,3,0.3,784,home,0
73897,3,0.47,708,business,0
42331,12,0.69,581,business,1
35155,25,0.18,685,education,0
48113,8,0.86,568,business,1
50835,6,0.53,522,business,1
66412,15,0.35,601,education,0
24613,17,0.65,639,business,0
72943,2,0.14,676,business,0
47629,19,0.49,710,business,0
43596,19,0.49,624,personal,0
34818,9,0.23,697,home,0
25177,23,0.77,538,car,1
62347,25,0.74,752,home,0
51099,29,0.22,540,personal,0
30650,25,0.39,615,car,0
30573,21,0.18,600,home,0
44963,15,0.78,549,education,1
75035,2,0.36,673,personal,0
46106,10,0.45,769,education,0
27452,24,0.36,523,education,0
46313,9,0.35,489,home,0
45909,15,0.7,588,car,1
10000,7,0.7,633,business,1
49185,8,0.51,703,business,0
46535,14,0.63,616,personal,1
60443,20,0.51,520,education,1
77734,2,0.12,739,personal,0
66898,3,0.15,585,home,0
45966,29,0.41,694,education,0
33402,12,0.7,570,business,1
88600,11,0.83,637,home,1
50888,20,0.12,674,home,0
50208,8,0.39,590,personal,0
49638,24,0.28,679,personal,0
52971,13,0.75,624,car,1
47834,18,0.78,618,business,1
41395,6,0.27,755,business,0
41797,15,0.67,674,personal,0
49508,21,0.69,684,business,0
41848,19,0.24,701,business,0
39307,4,0.45,690,home,0
51596,29,0.6,674,education,0
46175,9,0.12,736,education,0
72559,17,0.42,584,car,0
10235,10,0.22,660,education,0
66372,6,0.53,628,business,0
68691,13,0.77,659,home,1
18899,19,0.52,601,education,0
44859,17,0.13,536,business,0
44428,10,0.12,706,business,0
28887,21,0.58,818,personal,0
38332,26,0.36,725,personal,0
33341,11,0.56,710,education,0
76284,17,0.23,667,personal,0
64035,25,0.72,639,business,1
69073,1,0.79,643,business,1
60825,22,0.81,642,personal,1
33064,0,0.34,604,home,0
42132,22,0.63,534,personal,1
57340,9,0.32,663,home,0
31668,20,0.71,630,personal,1
60694,0,0.2,729,business,0
46395,5,0.71,701,business,0
44377,6,0.45,507,personal,1
60664,16,0.78,769,car,0
56663,8,0.69,613,home,1
44585,6,0.4,624,car,0
67389,16,0.82,532,business,1
33784,2,0.33,668,home,0
59239,15,0.87,678,personal,1
58896,4,0.71,769,home,0
45356,19,0.89,709,home,1
54891,17,0.14,614,education,0
31233,0,0.32,525,home,1
63860,3,0.69,609,business,1
47226,22,0.84,723,car,1
42159,10,0.12,622,car,0
65735,19,0.1,573,personal,0
39434,8,0.3,661,education,0
28873,29,0.78,626,car,1
26650,7,0.71,618,car,1
59090,7,0.37,597,home,0
30793,4,0.1,657,business,0
76321,11,0.54,721,business,0
18771,0,0.29,685,personal,0
75446,14,0.7,515,business,1
53165,24,0.46,758,car,0
48549,17,0.64,702,home,0
41826,5,0.78,671,business,1
55987,9,0.53,679,education,0
49435,13,0.37,690,education,0
66549,20,0.72,677,education,0
51713,25,0.31,582,business,0
52254,28,0.81,685,home,1
44545,7,0.16,661,business,0
49145,26,0.77,679,car,1
54617,2,0.17,605,business,0
24347,21,0.14,726,education,0
29777,21,0.39,610,education,0
61148,25,0.87,646,home,1
52562,18,0.89,614,personal,1
47240,11,0.26,580,education,0
50276,11,0.22,700,education,0
55213,14,0.38,614,personal,0
41903,27,0.37,660,business,0
38325,6,0.71,552,education,1
52937,26,0.46,522,home,1
35324,3,0.72,771,business,0
56123,20,0.7,761,business,0
24461,8,0.56,607,education,0
65437,21,0.77,681,business,1
57088,15,0.26,618,business,0
53840,25,0.23,696,home,0
64740,12,0.7,574,business,1
74982,3,0.3,567,education,0
65215,23,0.1,651,education,0
22386,8,0.83,676,personal,1
30806,25,0.6,601,car,1
40627,20,0.46,558,personal,0
50391,17,0.68,738,home,0
57764,14,0.37,617,home,0
39113,14,0.86,618,education,1
52801,5,0.15,736,car,0
38669,10,0.61,806,personal,0
40827,27,0.72,672,car,0
28900,7,0.48,711,education,0
36151,28,0.7,570,business,1
29724,20,0.84,701,education,1
35361,16,0.7,709,education,0
65804,23,0.35,582,car,0
35759,24,0.55,612,home,0
89485,16,0.83,735,business,0
57399,23,0.46,630,business,0
52772,25,0.65,749,home,0
37124,27,0.47,651,car,0
60504,17,0.2,647,car,0
41365,3,0.15,718,home,0
51830,28,0.86,793,personal,0
88401,14,0.59,696,car,0
48559,1,0.18,662,home,0
67239,1,0.79,738,personal,1
39452,9,0.52,743,education,0
49475,2,0.72,687,business,0
76562,29,0.2,676,home,0
40595,7,0.83,699,car,1
77186,19,0.57,549,business,1
60616,6,0.69,576,personal,1
41562,11,0.13,666,business,0
59486,25,0.35,596,home,0
64588,18,0.31,652,education,0
59327,25,0.86,664,personal,1
26446,27,0.25,581,personal,0
39092,29,0.67,691,personal,0
46287,14,0.13,516,business,0
48883,13,0.26,627,education,0
59310,15,0.37,542,home,0
52665,28,0.74,627,home,1
29969,26,0.73,716,business,0
55702,13,0.86,598,home,1
59158,2,0.83,508,home,1
58396,17,0.17,633,education,0
66211,28,0.76,591,business,1
62508,27,0.46,650,business,0
56887,21,0.79,633,personal,1
48947,5,0.17,662,home,0
25085,16,0.76,732,car,0
56444,22,0.23,623,education,0
53115,27,0.37,656,education,0
54073,13,0.12,627,car,0
30848,13,0.2,720,personal,0
33784,19,0.46,660,car,0
65797,12,0.75,686,car,0
49406,26,0.72,703,personal,0
60222,27,0.29,513,car,0
50424,2,0.22,705,personal,0
50446,12,0.41,676,home,0
64074,28,0.81,602,personal,1
42259,23,0.17,740,business,0
51441,1,0.53,719,business,0
43065,8,0.17,636,car,0
43482,12,0.48,505,business,1
45362,7,0.2,645,personal,0
53332,15,0.16,580,home,0
42818,23,0.25,496,personal,0
68836,28,0.3,690,education,0
36580,2,0.32,756,car,0
47196,12,0.62,643,home,0
43404,3,0.14,668,car,0
71704,17,0.16,743,education,0
52948,1,0.25,662,business,0
65477,19,0.8,607,education,1
27716,21,0.6,493,business,1
54005,20,0.68,707,car,0
63344,14,0.4,679,car,0
51234,16,0.27,714,car,0
65982,28,0.13,478,personal,0
42240,9,0.49,795,home,0
71140,0,0.56,594,personal,1
84483,5,0.82,726,education,0
44557,2,0.81,517,home,1
43317,18,0.44,595,car,0
71800,6,0.44,611,car,0
73693,12,0.23,578,car,0
42157,12,0.31,592,business,0
43697,16,0.84,763,education,0
45773,0,0.21,626,personal,0
29833,13,0.87,799,education,0
36220,28,0.5,723,business,0
34937,25,0.47,509,business,1
38483,2,0.24,626,education,0
49479,13,0.63,622,business,1
53513,23,0.47,583,home,0
73257,0,0.4,735,car,0
35024,15,0.31,710,personal,0
64764,9,0.15,800,business,0
46790,12,0.52,617,personal,0
49258,3,0.35,680,car,0
60122,8,0.67,625,education,1
33159,13,0.68,622,car,1
55736,3,0.37,706,personal,0
52496,9,0.64,804,home,0
57386,7,0.31,718,education,0
54337,22,0.68,711,business,0
86829,2,0.11,645,home,0
40433,22,0.22,709,car,0
42035,6,0.3,732,personal,0
40652,9,0.72,589,personal,1
41667,2,0.15,652,personal,0
40439,1,0.25,627,car,0
67835,14,0.39,605,education,0
71307,8,0.11,718,business,0
41438,14,0.71,633,home,1
37514,16,0.55,683,car,0
57071,29,0.82,683,personal,1
41716,6,0.12,631,business,0
59493,19,0.32,548,personal,0
53043,17,0.69,625,car,1
27263,14,0.64,686,personal,0
73212,17,0.29,671,car,0
76938,23,0.58,513,personal,1
40808,22,0.74,706,car,0
44184,11,0.13,611,personal,0
54287,22,0.67,690,business,0
55016,20,0.3,707,business,0
59878,29,0.86,682,personal,1
80153,25,0.53,781,personal,0
47345,7,0.13,719,car,0
38025,29,0.42,618,car,0
29310,1,0.87,625,car,1
39036,1,0.68,644,education,1
49503,4,0.34,625,personal,0
76918,0,0.56,675,personal,1
42235,21,0.58,570,personal,1
53356,3,0.12,746,personal,0
49753,5,0.24,652,car,0
67825,22,0.54,744,car,0
87903,12,0.42,567,education,0
42036,18,0.25,567,car,0
42658,10,0.72,725,personal,0
65662,12,0.49,604,personal,0
60228,7,0.35,580,home,0
77700,6,0.23,731,car,0
58758,12,0.59,593,home,1
44610,0,0.63,648,personal,1
58859,5,0.64,612,car,1
66630,6,0.28,703,personal,0
62307,15,0.58,665,home,0
57609,29,0.82,713,home,1
66000,26,0.38,566,business,0
67539,14,0.27,666,business,0
70732,19,0.72,656,car,1
59730,29,0.24,597,car,0
47493,1,0.3,577,car,0
52200,25,0.18,643,car,0
68097,24,0.31,629,car,0
37745,22,0.43,732,car,0
55530,15,0.15,707,car,0
44099,16,0.8,601,home,1
50431,23,0.51,632,home,0
69176,14,0.57,688,home,0
52866,2,0.4,695,personal,0
50696,3,0.64,733,education,0
29602,11,0.45,645,personal,0
61193,4,0.71,661,car,1
59682,16,0.76,525,education,1
82448,5,0.64,572,home,1
45383,9,0.49,713,home,0
53287,21,0.73,573,business,1
53740,17,0.5,532,car,1
73661,26,0.19,703,car,0
48570,9,0.19,622,business,0
54185,5,0.86,594,personal,1
